ActionID;ActionName;ActionTaskAssignment;ActionSteps;;TaskID;TaskName;;SemaphoreID;Startpunkt;Endpunkt;TeilVonVerbund;Initialisierungsvar;;ActionID;MutexID
Text;Text;Text;Text;;Text;Text;;Text;Text;Text;Text;Text;;Text;Text
1;Extrem Langer Text der Eventuell zu Problemen in der Darstellung führen könnte;1;3;;1;Task 1;;1;1;2;1;1;;2;1
2;Action 2;2;4;;2;Extrem Langer Text der zu Problemen in der Darstellung führen könnte;;2;2;4;2;0;;4;1
3;Action 3;1;1,00E+14;;3;Task 3;;3;2;5;3;0;;5;1
4;Action 4;6;2;;4;Task 4;;4;4;6;4;0;;6;2
5;Action 5;2;2;;5;Task 5;;5;7;6;4;0;;7;2
6;Action 6;1;2;;6;Task 6;;6;5;7;5;0;;1;1
7;Action 7;4;3;;7;Task 7;;7;5;8;6;0;;1;1
8;Action 8;5;4;;8;Task 8;;8;7;8;7;0;;;
;;;;;9;Task 9;;9;8;1;8;0;;;
;;;;;;Task 10;;10;6;3;9;0;;;
